Doctor_Id,Practice_Specialities
1,"Child and Adolescent Psychiatry"
1,"Forensic Psychiatry"
1,"Geriatric Psychiatry"
1,Psychiatry
2,"Child and Adolescent Psychiatry"
2,"Forensic Psychiatry"
2,Psychiatry
3,"Forensic Psychiatry"
3,"Geriatric Psychiatry"
3,Psychiatry
4,"Medical Microbiology Pathology"
4,"Molecular Genetic Pathology"
4,Pathology
5,"Child and Adolescent Psychiatry"
5,Psychiatry
6,"Child and Adolescent Psychiatry"
6,Psychiatry
7,Anesthesiology
7,"Child and Adolescent Psychiatry"
7,"Pain Medicine"
7,Psychiatry
8,Anesthesiology
8,"Regional Anesthesiology and Acute Pain Medicine"
9,"Addiction Medicine"
9,"Consultation-Liaison Psychiatry/Psychosomatic Medicine"
9,"Forensic Psychiatry"
9,"Internal Medicine"
9,Psychiatry
10,"Child and Adolescent Psychiatry"
10,Psychiatry
11,"Consultation-Liaison Psychiatry/Psychosomatic Medicine"
11,"Geriatric Psychiatry"
11,Psychiatry
12,"Child and Adolescent Psychiatry"
12,Psychiatry
13,"Adult Reconstructive Orthopaedic Surgery"
13,"Orthopaedic Surgery"
14,"Adult Cardiac Anesthesiology"
14,Anesthesiology
14,"Critical Care Medicine"
15,Neurology
15,"Vascular Neurology"
16,"Adult Reconstructive Orthopaedic Surgery"
16,"Orthopaedic Sports Medicine"
16,"Orthopaedic Surgery"
17,"Complex General Surgical Oncology"
17,"Critical Care Medicine"
17,"General Surgery"
17,"Internal Medicine"
17,"Neurocritical Care"
17,Neurology
17,"Surgical Critical Care"
18,"Developmental and Behavioral Pediatrics"
18,Pediatrics
19,"Adult Cardiac Anesthesiology"
19,Anesthesiology
19,"Critical Care Medicine"
19,"Internal Medicine"
20,"Child Neurology/Pediatric Neurology"
20,"Clinical Neurophysiology"
20,Neurology
21,"Child and Adolescent Psychiatry"
21,Psychiatry
22,"Child and Adolescent Psychiatry"
22,Pediatrics
22,Psychiatry
23,"Neurocritical Care"
23,Neurology
23,"Vascular Neurology"
24,"Consultation-Liaison Psychiatry/Psychosomatic Medicine"
24,"Geriatric Psychiatry"
24,Psychiatry
25,Cytopathology
25,"Molecular Genetic Pathology"
25,Pathology
26,"Child and Adolescent Psychiatry"
26,Psychiatry
27,"Neurocritical Care"
27,Neurology
28,"Medical Microbiology Pathology"
28,Pathology
29,"Geriatric Psychiatry"
29,Psychiatry
30,Anesthesiology
30,"Pain Medicine"
31,"Addiction Psychiatry"
31,Psychiatry
32,"Child and Adolescent Psychiatry"
32,Psychiatry
33,"Geriatric Psychiatry"
33,Psychiatry
34,"Child and Adolescent Psychiatry"
34,Psychiatry
35,"Child and Adolescent Psychiatry"
35,Psychiatry
36,Dermatopathology
36,Pathology
37,"Child and Adolescent Psychiatry"
37,Psychiatry
38,Anesthesiology
38,"Pain Medicine"
39,"Child and Adolescent Psychiatry"
39,Psychiatry
40,Neurology
40,"Vascular Neurology"
41,"Diagnostic Radiology"
41,Neurology
41,Neuroradiology
41,"Vascular Neurology"
42,"Geriatric Psychiatry"
42,Psychiatry
43,"Child and Adolescent Psychiatry"
43,Psychiatry
44,"Child and Adolescent Psychiatry"
44,Psychiatry
45,Cytopathology
45,Pathology
46,"Child and Adolescent Psychiatry"
46,Psychiatry
47,"Child and Adolescent Psychiatry"
47,Psychiatry
48,"Child and Adolescent Psychiatry"
48,Psychiatry
49,Neurology
49,"Vascular Neurology"
50,"Child and Adolescent Psychiatry"
50,Psychiatry
51,"Child and Adolescent Psychiatry"
51,Psychiatry
52,"Child and Adolescent Psychiatry"
52,Psychiatry
53,"Adult Cardiac Anesthesiology"
53,Anesthesiology
54,"Child and Adolescent Psychiatry"
54,Psychiatry
55,"Child and Adolescent Psychiatry"
55,Psychiatry
56,"Child and Adolescent Psychiatry"
56,Psychiatry
57,"Child and Adolescent Psychiatry"
57,Psychiatry
58,"Child and Adolescent Psychiatry"
58,Psychiatry
59,"Adult Cardiac Anesthesiology"
59,Anesthesiology
60,"Forensic Psychiatry"
60,Psychiatry
61,"Molecular Genetic Pathology"
61,Pathology
62,"Child and Adolescent Psychiatry"
62,Psychiatry
63,"Forensic Pathology"
63,"Neuromuscular Medicine"
63,Pathology
63,"Physical Medicine and Rehabilitation"
64,"Developmental and Behavioral Pediatrics"
64,Pediatrics
65,"Child and Adolescent Psychiatry"
65,Psychiatry
66,"Child and Adolescent Psychiatry"
66,Psychiatry
67,Anesthesiology
67,"Pediatric Anesthesiology"
68,"Clinical Neurophysiology"
68,Epilepsy
68,Neurology
69,"Developmental and Behavioral Pediatrics"
69,Pediatrics
70,"Child and Adolescent Psychiatry"
70,Psychiatry
71,"Clinical Neurophysiology"
71,Epilepsy
71,Neurology
72,"Child Neurology/Pediatric Neurology"
72,Neurology
73,"Addiction Psychiatry"
73,Psychiatry
74,"Child and Adolescent Psychiatry"
74,Psychiatry
75,"Child and Adolescent Psychiatry"
75,Psychiatry
76,"Child and Adolescent Psychiatry"
76,Psychiatry
77,Neurology
77,"Vascular Neurology"
78,"Addiction Psychiatry"
78,Psychiatry
79,"Clinical Neurophysiology"
79,Neurology
79,"Neuromuscular Medicine"
80,"Child and Adolescent Psychiatry"
80,Psychiatry
81,"Adult Cardiac Anesthesiology"
81,Anesthesiology
